using HTTP for the container environment
         6795529 function calls (6512220 primitive calls) in 58.053 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _base.py:984(ExcelFile)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:106(HTTPHeaderDict)
       42    0.000    0.000    0.003    0.000 _collections.py:140(__init__)
     1176    0.002    0.000    0.002    0.000 _collections.py:155(__getitem__)
     1050    0.000    0.000    0.000    0.000 _collections.py:186(__iter__)
     1176    0.001    0.000    0.002    0.000 _collections.py:214(add)
       42    0.001    0.000    0.003    0.000 _collections.py:230(extend)
        1    0.000    0.000    0.000    0.000 _collections.py:30(RecentlyUsedContainer)
       84    0.000    0.000    0.000    0.000 _collections.py:46(__init__)
       42    0.000    0.000    0.000    0.000 _collections.py:53(__getitem__)
       42    0.000    0.000    0.000    0.000 _collections.py:60(__setitem__)
       84    0.000    0.000    0.007    0.000 _collections.py:91(clear)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
      154    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:406(__subclasshook__)
     1776    0.002    0.000    0.005    0.000 _collections_abc.py:657(get)
      217    0.000    0.000    0.001    0.000 _collections_abc.py:664(__contains__)
      336    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
      336    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
       84    0.000    0.000    0.000    0.000 _collections_abc.py:701(__len__)
